runner_name,gender,elo,rank
peter frano,M,822.7169669927109,40
hannes namberger,M,822.2769772845357,41
jim walmsley,M,821.9476905577553,42
camilla magliano,F,819.8418388242666,24
martina valmassoi,F,819.663094679874,25
will murray,M,819.4236837326679,43
susan alexander,F,818.3274104088207,26
ida nilsson,F,817.8532999754217,27
claudia tremps,F,817.2504746203653,28
corey kallembach,M,816.2902342474259,44
bayo manuel anguita,M,815.4536191458781,45
megan eckert,F,814.134820322604,29
michael versteeg,M,813.5850011990859,46
miao yao,F,811.5551082743908,30
tim tollefson,M,810.1883556013246,47
keely henninger,F,810.1171970157536,31
anna mckenna,F,809.7244101816345,32
heather jackson,F,809.2227998481376,33
ihor verys,M,808.9431609140968,48
christelle douillet,F,808.3274104088207,34
jeffrey stern,M,808.2697357164033,49
jp giblin,M,807.0047942981313,50
ryan raff,M,806.4769930941802,51
jeshurun small,M,805.5655275122667,52
georgia porter,F,803.6432284331356,35
petter engdahl,M,803.6424016494864,53
robbie simpson,M,803.4921354901923,54
judith wyder,F,801.5551082743908,36
manon bohard,F,801.1010933572722,37
eric lipuma,M,799.7261586803575,55
antoine charvolin,M,798.5953632735118,56
soleil gaylord,F,798.5291246891859,38
stephanie leake,F,798.3274104088207,39
maryline nakache,F,797.9115875460805,40
adrian macdonald,M,797.8900418710922,57
anna-stiina erkkilä,F,796.5259792136835,41
anne cecile thevenot,F,796.062660131307,42
cody lind,M,795.3616791793236,58
priscilla forgie,F,794.9558438297411,43
jade belzberg,F,794.7170206341675,44
jupiter carera casas,M,794.4857040545622,59
thomas cardin,M,793.7973418009899,60
grant hotaling,M,793.3693027404775,61
mathieu blanchard,M,793.1007665191972,62
lin chen,F,793.0504484484395,45
huohua zhang,M,792.7169669927109,63
amanda basham,F,791.2432438164059,46
cristofer clemente,M,790.6698475758351,64
miguel arsenio,M,790.0637265320254,65
guomin deng,M,789.7088873461092,66
ferdinand airault,M,788.9780097290169,67
michelino sunseri,M,788.7497606720408,68
laura cortez,F,788.5291246891859,47
lauren kersjes,F,788.4898935306952,48
marissa bowman,F,788.3274104088207,49
michael mcknight,M,787.9372558451179,69
claire devoe,F,787.7022209045463,50
sam hendry,M,787.6065923463065,70
dakota jones,M,787.3527029880796,71
jeff browning,M,787.2513771864413,72
cameron smith,M,786.8526743867584,73
andreas reiterer,M,785.8664878989172,74
megan roche,F,785.0186841673844,51
courtney olsen,F,784.982818747144,52
perez antonio martinez,M,784.6360880651846,75
timberlin henderson,M,784.377269531185,76
valerie arsenault,F,784.1611236239078,53
robert strickland,M,784.08971867377,77
anders hekkli,M,783.7567261726772,78
michael eastburn,M,783.6980846334908,79
rajpaul pannu,M,783.6490837264191,80
maite maiora,F,783.5985483649306,54
jean-philippe tschumi,M,783.1007665191972,81
hirondel blandine l,F,783.0504484484395,55
martyna kantor,F,783.0349747514026,56
baptiste chassagne,M,782.9000788997138,82
bouillon arthur joyeux,M,782.777240656095,83
guidu qin,M,781.9634946810064,84
elena horton,F,781.7456227716283,57
jeff mogavero,M,781.5668145975521,85
sara alonso,F,781.5551082743908,58
josh wade,M,781.2708574451505,86
nicolas cerisier,M,780.6698475758351,87
andrea stofko,F,780.4497883933766,59
marie goncalves,F,780.2208300643432,60
christopher hammes,M,779.7884033781672,88
miguel heras,M,778.3828624926037,89
sarah mocker,F,778.3274104088207,61
dmitry mityaev,M,778.3076526864056,90
theres leboeuf,F,778.253835161913,62
arlen glick,M,777.2513771864413,91
katharina hartmuth,F,777.2089301546604,63
clapera nuria gil,F,777.1832802334809,64
eliska sieglova,F,776.3005640318404,65
brandon gardiner,M,775.7198336682985,92
ariane wilhem,F,775.5375587061055,66
anna kacius,F,775.4906397026656,67
bo shelby,M,775.1718604005316,93
kodi kleven,F,774.7889034919856,68
simon quartier,M,774.7791989470394,94
madison andersen,F,774.6643516821806,69
juwei zi,M,774.6360880651846,95
tyler fox,M,773.8725110984622,96
andrzej witek,M,773.79734180099,97
clark messman,M,773.6980846334908,98
max jolliffe,M,773.4426963571022,99
david haunschmidt,M,773.1686103136228,100
rosanna buchauer,F,773.0349747514026,70
joshua potvin,M,772.4171638227946,101
ryo murata,M,771.9634946810064,102
caitlin fielder,F,771.5551082743908,71
pauline grardel,F,771.4722283759959,72
fredrik bruseth,M,771.3377845933041,103
jenna bensko,F,771.2831872342024,73
piet wiersma,M,770.9274460532438,104
jason yang,M,770.8781499795193,105
daniel metzger,M,770.8255450700404,106
chloe painter,F,770.7857179165944,74
vincent fabre,M,770.6698475758351,107
adeline roche,F,770.2208300643432,75
flavie bruyneel,F,770.1291837661004,76
juan acevedo,M,769.2438997590775,108
vernon palm,M,768.6795824720562,109
larissa marcich,F,768.5291246891859,77
eszter csillag,F,768.406998219482,78
leslie studtmann,F,768.3274104088207,79
thomas evans,M,768.3076526864056,110
robbie britton,M,767.8900418710921,111
eva-maria sperger,F,767.8480523659259,80
hedges david david,M,767.6065923463065,112
moira o'connor lenth,F,767.3167950167073,81
joe mcconaughy,M,767.2513771864413,113
robert ressl,M,767.0713924248389,114
robyn lesh,F,766.882471439161,82
corinne shalvoy,F,766.571005493145,83
becca windell,F,766.3042183226127,84
anne barber,F,766.3005640318404,85
sarah correa,F,766.2974157569791,86
dylan humberger,M,765.7378906447635,115
silvia puigarnau,F,765.5375587061055,87
bertie houghton,M,765.4757319478831,116
claudia chmielowska,F,765.3754919311667,88
gordon gianniny,M,765.3159580117429,117
abbie tuomi,F,765.0186841673844,89
jennifer lichter,F,764.978762730382,90
nick coury,M,764.952758465176,118
arne detavernier,M,764.7791989470394,119
aritz egea,M,764.6360880651846,120
anke friedl,F,764.1611236239078,91
nick handel,M,763.9930814096261,121
virgile moriset,M,763.79734180099,122
imogen ainsworth,F,763.7743767623331,92
josh eberly,M,763.7567261726772,123
rene dorantes,M,763.6980846334908,124
nelson santos,M,763.6698505244182,125
yukari seimiya,F,763.1753143656664,93
manuel bonardi,M,763.1686103136228,126
sabrina stanley,F,763.0504484484395,94
ha hau thi,F,763.0349747514026,95
cortney haile,F,762.9035292920637,96
andreas rieder,M,762.7169669927109,127
natalie nicholson,F,762.1642488543121,97
hayato nishikata,M,761.9634946810064,128
kathryn drew,F,761.2831872342024,98
dan moselakwe,M,760.9274460532438,129
ryan root,M,760.8781499795193,130
vanda koniarova,F,760.7857179165944,99
clement truffault,M,760.6698475758351,131
eleanor davis,F,760.2208300643432,100
arden young,F,760.1323193208701,101
brad miles,M,759.7347065971207,132
aline coquard,F,759.7204258621589,102
anna louden,F,759.522013025872,103
michael mcginnis,M,759.2438997590775,133
aaron coe,M,759.1602771072351,134
melissa tanner,F,759.1260927152169,104
valérie arsenault,F,758.7665698722878,105
florian winker,M,758.7497606720408,135
logan ziegenmeyer,M,758.6795824720562,136
thibaut baronian,M,758.544794907353,137
rachel lawrence,F,758.5291246891859,106
ellen cannon,F,758.4898935306953,107
samantha hoffmann,F,758.3274104088207,108
sandra sevillano,F,757.8480523659259,109
grant barnette,M,757.6065923463063,138
dimitri chapelle,M,757.5362587681205,139
emilie mann,F,757.409074783786,110
jordi gamito,M,757.1857873732072,140
ray avalos,M,757.0713924248389,141
liam fleming,M,756.7319945076479,142
federica zuccollo,F,756.3005640318404,111
andrea deutsche,F,756.2974157569791,112
sunmaya budha,F,755.9494243722487,113
raphael sprenger,M,755.8664878989172,143
marie-luise mühlhuber,F,755.5375587061055,114
hannes perkmann,M,755.4757319478831,144
colin cooper,M,755.3189247766704,145
julie wright,F,755.1109148649048,115
salynda heinl,F,755.0186841673844,116
tabor hemming,F,754.978762730382,117
julien pillot,M,754.7791989470394,146
kristian jones,M,754.6360880651846,147
kristina trygstad-saari,F,754.4515640866895,118
anna strakova,F,754.1611236239078,119
tara dower,F,753.7980085717878,120
colleen noonan,F,753.7743767623331,121
johnny lake,M,753.7567261726772,148
kevin carson,M,753.4426963571022,149
raul butaci,M,753.4198172190642,150
angie chi yee yan,F,753.1753143656664,122
michael mcmonagle,M,753.1686103136228,151
gautier bonnecarrere,M,752.777240656095,152
der zon peter van,M,752.5754386269415,153
kevin vermeulen,M,752.3457389210982,154
jake kilgore,M,752.0213038909778,155
jenny quilty,F,751.7456227716283,123
suman kulung,M,751.3377845933041,156
genevieve asselin demers,F,751.2831872342024,124
matthew seidel,M,751.1961230013651,157
degefa yohannese lafebo,M,750.9274460532438,158
gavin prior,M,750.8781499795193,159
richard lockwood,M,750.8279757777966,160
sabrina roost,F,750.7857179165944,125
jonathan rea,M,750.3848030112642,161
matthew zupan,M,749.7548093889076,162
brett hornig,M,749.7347065971207,163
wenfei xie,F,749.7204258621589,126
josh jenkins,M,749.2438997590775,164
careth arnold,F,748.9829675057846,127
r. robyn lesh,F,748.7665698722878,128
david hedges,M,748.7497606720408,165
chelsea myntti,F,748.5291246891859,129
nate jewkes,M,748.2034468954714,166
jeff rome,M,748.0039698695537,167
mark gaudet,M,747.8900418710921,168
daniela mackner,F,747.8480523659259,130
tine zizmond,M,747.5362587681205,169
matthieu durand,M,747.4097569026326,170
jeff garmire,M,747.2513771864412,171
damien boston,M,747.1857873732072,172
moran greta garcia,F,747.1832802334809,131
caleb kruse,M,747.0713924248389,173
lucien epiney,M,746.9581816149918,174
gregory krathwohl,M,746.8526743867584,175
joel shores,M,746.6850843143355,176
ashley lin,F,746.2974157569791,132
ekaterina mityaeva,F,745.9494243722487,133
zachary perrin,M,745.7378906447634,177
gabe joyes,M,745.7209560387042,178
fernandez guadalupe rubio,F,745.5375587061055,134
laura hansen,F,745.4906397026656,135
cristian minoggio,M,745.4757319478831,179
dan button,M,745.4685128860855,180
jaclyn foroughi,F,745.1109148649048,136
élisa morin,F,744.978762730382,137
ruby lindquist,F,744.7889034919856,138
remi cayol,M,744.7791989470394,181
seguret anne lise rousset,F,744.7687761360728,139
fernandez daniel castillo,M,744.6360880651846,182
ella ratliff,F,744.4515640866895,140
hanna hampel,F,744.1611236239078,141
simon pfreundschuh,M,743.8725110984622,183
aziz yachou,M,743.79734180099,184
becki lynn bauer,F,743.743558322742,142
luis fernandes,M,743.6698505244182,185
harvey lewis,M,743.3396641407146,186
yumi hosokawa,F,743.1753143656664,143
andrii lysenko,M,743.1686103136228,187
david laney,M,743.1400317301491,188
vincent esmiol,M,743.1007665191972,189
jingyan tang,F,743.0349747514026,144
yannick noel,M,742.777240656095,190
arnaud bonin,M,742.7169669927109,191
haene francois d,M,742.5754386269415,192
claire bannwarth,F,742.3934236528692,145
anthony costa,M,742.3870825208311,193
carson albanese,M,742.0213038909778,194
takashi doi,M,741.9634946810064,195
sarah guhl,F,741.9274067089877,146
sarah gage,F,741.7456227716283,147
matteo anselmi,M,741.6871838862035,196
pina deiana,F,741.6653346227994,148
laktab ikram rharsalla,F,741.5551082743908,149
roger karwaczynski,M,741.3377845933041,197
joseph manyedi,M,740.9274460532438,198
nichole abma,F,740.8963417300658,150
logan barrett,M,740.8781499795193,199
anastasiia chertova,F,740.7857179165944,151
mickael gasc,M,740.6698475758351,200
jace ives,M,740.329824432436,201
gabriel kline,M,739.9705762983046,202
adam broderick,M,739.7548093889076,203
connor bessell,M,739.2438997590775,204
jason schlarb,M,739.1707278573082,205
lisa kabat,F,739.1260927152169,152
britta clark,F,738.7665698722878,153
lars arneson,M,738.7497606720408,206
kirk horton,M,738.6734896234186,207
amy sousa,F,738.5291246891859,154
becca neel,F,738.3274104088207,155
benjamin stout,M,738.3076526864056,208
harry jones,M,738.1696195937279,209
brian peterson,M,738.0039698695537,210
dominika stelmach,F,737.9125316638119,156
allegra krasznekewicz,F,737.3167950167073,157
cecil samora,M,737.2258003306774,211
losada miguel portal,M,737.1857873732072,212
alexis crellin,F,737.0779344425986,158
cole kersey,M,737.0713924248389,213
cameron yeaman,M,736.7584743599987,214
amalia-florentina ardeleanu,F,736.3005640318404,159
laura pryor,F,736.2974157569791,160
julie lesage,F,735.5375587061055,161
jackie barnhart,F,735.0186841673844,162
emily caldwell,F,734.7889034919856,163
damien brenard,M,734.7791989470394,215
骆滔 luo,M,734.6360880651846,216
megan drake,F,734.4515640866895,164
manuela schiebel,F,734.1611236239078,165
nicholas lightbody,M,734.1471537843937,217
pierre emmanuel alexandre,M,733.7973418009899,218
lucie hanes,F,733.7743767623331,166
andrew dodds,M,733.7567261726772,219
tyler burke,M,733.6980846334908,220
erik sebastian krogvig,M,733.6698505244182,221
oleg ponomarev,M,733.1686103136228,222
gus gibbs,M,733.1400317301491,223
judicael sautron,M,733.1007665191972,224
ferdinand-clovis airault,M,733.0610030696494,225
joey defeo,M,732.6056218664263,226
baptiste hagnere,M,732.5754386269415,227
wes ritner,M,732.1758487109357,228
fuzhao xiang,F,732.0810864874312,167
mark vogel,M,732.0213038909778,229
nagisa itagaki,M,731.9634946810064,230
megan kupres,F,731.7456227716283,168
feliu rosa maria lara,F,731.5551082743908,169
tobias schmid,M,731.3377845933041,231
tyson slade,M,731.1862136090377,232
andrew davies,M,730.9274460532438,233
harsha thirumurthy,M,730.8781499795193,234
emi dixon,F,730.7857179165944,170
graet adrien le,M,730.6698475758351,235
remi delille,M,730.329824432436,236
magot agathe teillet,F,730.2208300643432,171
andrew sheridan,M,730.1994000818254,237
caleb bowen,M,730.0830376336943,238
tristan blanchard,M,730.0637265320254,239
adam dalton,M,730.0224454436948,240
celime garcia,M,729.7548093889076,241
julie marini,F,729.5819831044448,172
carlos bustamante,M,729.2438997590775,242
hunter thompson,M,729.1602771072351,243
marisa hird,F,729.1260927152169,173
lindsay prescott,F,728.7665698722878,174
jim sweeney,M,728.6795824720562,244
anna wickersham,F,728.5291246891859,175
teagan papke,F,728.4898935306952,176
zach miller,M,728.3828624926037,245
paul terranova,M,728.0039698695537,246
forrest barton,M,727.6065923463065,247
alessandro civitiello,M,727.5362587681205,248
hannah casey,F,727.3167950167073,177
jonathan van geuns,M,727.2513771864412,249
lucas durig,M,727.2258003306774,250
marcus burger,M,727.1857873732072,251
travis lee,M,727.0713924248389,252
ja shua ried,M,726.8526743867584,253
timmy parr,M,726.7319945076479,254
maja laznik,F,726.3005640318404,178
marijn sinkeldam,M,725.8664878989172,255
cedric chavet,M,725.8462337024665,256
dan green,M,725.6536771520867,257
holly clifford,F,725.5375587061055,179
marta wenta,F,725.4906397026656,180
joslynn peterson,F,725.1359315700352,181
hannah jochem,F,725.1109148649048,182
karen krob,F,725.0186841673844,183
yves heloury,M,724.7791989470394,258
hu zhao,M,724.6360880651846,259
barrett gray,F,724.5068171623941,184
justin grunewald,M,724.3282493512135,260
anna elisabeth klocker,F,724.1611236239078,185
roman trach,M,723.6980846334908,261
taylor morris,M,723.4426963571022,262
gerda steyn,F,723.2550733806829,186
jun liu,F,723.1753143656664,187
oowan davies,M,723.1686103136228,263
shea aquilano,F,723.1129744529845,188
robin coinus,M,723.1007665191972,264
josh park,M,723.0610030696494,265
alyssa clark,F,723.0504484484395,189
katarzyna wilk,F,723.0349747514026,190
shaw luke grenfell,M,722.6375396625657,266
brier youngfleish,F,722.4080501192155,191
casey rose,M,722.0213038909778,267
ho chung wong,M,721.9634946810064,268
heather henry,F,721.9274067089877,192
samantha lewis,F,721.8130016398525,193
rachael norfleet,F,721.7456227716283,194
ramon gut,M,721.3377845933041,269
sophie rouge,F,720.9846284934806,195
andrew wise,M,720.9772357166573,270
bongmusa mthembu,M,720.9274460532438,271
nicholas thompson,M,720.8781499795193,272
nora bergner,F,720.7857179165944,196
augustin segard,M,720.6698475758351,273
gabarret manon roche,F,720.2208300643432,197
bryce brooks,M,720.0224454436948,274
hans troyer,M,719.9705762983046,275
christine selman,F,719.8601122254078,198
thomas brauer,M,719.7548093889077,276
casey weinman,M,719.6401530512067,277
sarah allaben,F,719.6238650723686,199
dani stanbouly,M,719.2438997590775,278
river christensen,M,719.1602771072351,279
amber arvidson,F,719.1260927152169,200
emily harrison torrence,F,718.7665698722878,201
griffin briley,M,718.7497606720408,280
michael braaten,M,718.6795824720562,281
brett winegar,M,718.6734896234186,282
nicole mancuso,F,718.5291246891859,202
hoa schober,F,718.3274104088207,203
pere aurell,M,718.3076526864056,283
vince paikowski,M,717.8900418710921,284
jaycie thomsen,F,717.7022209045463,204
sage canaday,M,717.6065923463065,285
jonasz szewc,M,717.5362587681205,286
jerome aigner,M,717.2258003306774,287
quentin simon,M,717.1857873732072,288
chelsea creak,F,717.1832802334809,205
joah spearman,M,717.0713924248389,289
mason coppi,M,716.8526743867584,290
daniel bretscher,M,716.6850843143355,291
ewa jańczyk,F,716.3005640318404,206
rebecca teeters,F,716.2974157569791,207
matthew bigman,M,716.0525997911604,292
francesco cucco,M,715.8664878989172,293
kyle leto,M,715.7548043469726,294
j.p. giblin,M,715.7039991555055,295
katelyn mcdaniel,F,715.5977815305214,208
charlotte pollatz,F,715.5375587061055,209
jaime dawes,F,715.0186841673844,210
caitlin standifer,F,714.978762730382,211
keelah barger,F,714.7889034919856,212
paul cabaye,M,714.7791989470394,296
aroa sio,F,714.7687761360728,213
dreama walton,F,714.5918477863999,214
caroline hardin,F,714.4515640866895,215
tony rodríguez,M,714.3282493512135,297
lenka kohnova,F,714.1611236239078,216
henry harris,M,713.8725110984622,298
corentin play,M,713.79734180099,299
johanna hamblett,F,713.7743767623331,217
scott munson,M,713.6980846334908,300
samuel dickie,M,713.4426963571022,301
alexandra morozova,F,713.2550733806829,218
yuki shinya,F,713.1753143656664,219
manuel sprenger,M,713.1686103136228,302
jean marie thevenard,M,713.1007665191972,303
ryan clifford,M,713.0610030696494,304
lotti zeiler,F,713.0349747514026,220
aubin ferrari,M,712.777240656095,305
matt lenehan,M,712.6375396625657,306
bofill oriol barbany,M,712.5754386269415,307
rachel doxey,F,712.4080501192157,221
mika thewes,F,712.0310950784835,222
tatsuya saguchi,M,711.9634946810064,308
ji duo,M,711.9476905577553,309
caity ashley,F,711.7456227716283,223
lotti brinks,F,711.4205155779165,224
marco gruning,M,711.3377845933041,310
marci klimek,F,711.2831872342024,225
cameron braaten,M,711.1862136090377,311
steven preston,M,710.8781499795193,312
sarah knapp,F,710.7857179165944,226
simon bossis,M,710.6698475758351,313
jake nowosatka,M,710.329824432436,314
yurick aregger,M,710.0637265320254,315
steven evers,M,709.7548093889077,316
greg adams,M,709.2438997590775,317
taylor spike,M,709.1602771072351,318
brooke bray,F,709.1260927152169,227
mindy kaufman,F,708.7665698722878,228
derek ball,M,708.6795824720562,319
debbie gibson,F,708.5291246891859,229
colleen weitzel,F,708.4898935306953,230
dylan dame,M,708.3828624926037,320
trish corbett,F,708.3274104088207,231
andy vermilyea,M,708.0039698695537,321
grayson lee,M,707.9763088984055,322
andrea lee,F,707.7022209045463,232
matej letojne,M,707.5362587681205,323
madeline hall,F,707.3167950167073,233
joseph bearss,M,707.2258003306774,324
berger simon michel,M,707.1857873732072,325
zyl maryke van,F,707.1832802334809,234
john hudson,M,707.0713924248389,326
mario mendoza jr.,M,706.8526743867584,327
curt hermesch,M,706.6850843143355,328
colin macfarlane,M,706.597096583566,329
dena carr,F,706.4908746128806,235
janez klancnik,M,706.3477966594959,330
juta pavlic,F,706.3005640318404,236
rosanne ramirez,F,706.2974157569791,237
de los salmones azara garcia,F,705.9494243722487,238
yohan bugnion,M,705.8664878989172,331
anna buckingham,F,705.5375587061055,239
manuel merillas,M,705.4757319478831,332
toler wilson,M,705.4245146488489,333
lucy bartholomew,F,705.1450235174639,240
kelly brophy,F,705.1109148649048,241
deb huntzinger,F,705.0186841673844,242
laura mooney,F,704.978762730382,243
jennifer yeaman,F,704.7889034919856,244
kevin moret,M,704.7791989470394,334
benjamin roubiol,M,704.6360880651846,335
lucinda kolpa,F,704.4515640866895,245
isabelle schöffl,F,704.1611236239079,246
lambert santelli,M,703.79734180099,336
ash warner,F,703.7743767623331,247
alledan mcfall,M,703.7567261726772,337
andi ramer,F,703.4621264610407,248
william goodge,M,703.4426963571022,338
miho tsuboi,F,703.1753143656664,249
harold bredel,M,703.1686103136228,339
anthony pipitone,M,703.1007665191972,340
benjamin linne,M,703.0610030696494,341
avis emmiliese von,F,703.0349747514026,250
kamil lesniak,M,702.777240656095,342
bate mengkai,M,702.7169669927109,343
sau domenech,M,702.5754386269415,344
sara striegel,F,702.4080501192157,251
bryan kerl,M,702.3457389210982,345
yngvild kaspersen,F,702.0810864874312,252
drew holmen,M,702.0305016636681,346
takamaru kawasaki,M,701.9634946810064,347
carmen bango,F,701.9274067089877,253
grace eversaul,F,701.7456227716283,254
anya tarasova,F,701.5551082743908,255
clement charrier,M,701.3377845933041,348
chris mcquivey,M,701.1862136090377,349
teboho sello,M,700.9274460532438,350
michael braun,M,700.8781499795193,351
anna winklehner,F,700.7857179165944,256
patrick kuhn,M,700.6698475758351,352
ryan thrower,M,700.329824432436,353
caroline lafaye,F,700.2208300643432,257
aleksei tolstenko,M,700.0637265320254,354
ryan hansen,M,700.0224454436948,355
karin strickland,F,699.9540131846617,258
russ ford,M,699.9318950183366,356
thomas evers,M,699.7548093889077,357
matthew hadley,M,699.7347065971207,358
magali vionnet,F,699.7204258621588,259
josh champ,M,699.2438997590775,359
royce hampton,M,699.1602771072351,360
rachel ragona,F,699.1260927152169,260
luke webster,M,698.7497606720408,361
michael asmus,M,698.6795824720562,362
bret ferrier,M,698.6734896234186,363
tess holbrook,F,698.5291246891859,261
stephanie dalager,F,698.4898935306953,262
santos gabriel rueda,M,698.3828624926037,364
paula butzi,F,698.3274104088207,263
borja fernandez,M,698.3076526864056,365
sabine wurmsam,F,697.8480523659259,264
isabelle brauer,F,697.7022209045463,265
bethany powhida,F,697.3167950167073,266
brody chisholm,M,697.2513771864413,366
sean beyard,M,697.2258003306774,367
raphael fourn,M,697.1857873732072,368
liam garvey,M,696.7319945076479,369
letha cruthirds,F,696.4908746128806,267
chiara katholnig,F,696.3005640318404,268
ruth mcgrath,F,696.2974157569791,269
marina cugnetto,F,695.9494243722487,270
gene beveridge,M,695.7378906447635,370
carol morgan,F,695.5375587061055,271
seth ruhling,M,695.4976068499767,371
mattia bertoncini,M,695.4757319478831,372
nicole bitter,F,695.1109148649048,272
jessie marman,F,695.0186841673844,273
care bear,F,694.978762730382,274
robin roobaert,M,694.7791989470394,373
robyn cassidy,F,694.7687761360728,275
tobias baggenstos,M,694.6360880651846,374
mariya nikolova,F,694.4891925819124,276
simone schwarz,F,694.2437224975977,277
sabrina prager,F,694.1611236239079,278
guillaume lacassagne,M,693.79734180099,375
alison rudy,F,693.7743767623331,279
andrew jones,M,693.7567261726772,376
jeff schacherl,M,693.6980846334908,377
carla molinaro,F,693.2550733806829,280
christoph seitz,M,693.1686103136228,378
jeremy nion,M,693.1007665191972,379
andrew simpson,M,693.0610030696494,380
fenre mari klakegg,F,693.0504484484395,281
veronika leng,F,693.0349747514025,282
jonathan moncany,M,692.777240656095,381
mathieu colzato,M,692.5754386269415,382
mirko zancarli,M,692.4798657258954,383
molly schmelzle,F,692.4080501192157,283
andy symonds,M,692.3781860781809,384
akihiro maeda,M,691.9634946810064,385
lauren williams,F,691.9274067089877,284
laurence laplante,F,691.7456227716283,285
louise serban--penhoat,F,691.5551082743908,286
thomas rollet,M,691.3377845933041,386
alex milne,M,690.9274460532438,387
matthew novak,M,690.8781499795193,388
michaela kathriner,F,690.7857179165944,287
julien dereumaux,M,690.6698475758351,389
ryan wendel,M,690.329824432436,390
camille martins,F,690.2208300643432,288
pedro gomes,M,690.0224454436948,391
elov olsson,M,689.8208460511048,392
john helgerson,M,689.7548093889077,393
marion fortin,F,689.7204258621588,289
christopher rojas,M,689.2438997590775,394
nick romine,M,689.1602771072351,395
audrey lawrence,F,689.1260927152169,290
porter burgess,F,688.7665698722878,291
wesley perkins,M,688.7497606720408,396
dan yovichin,M,688.6795824720562,397
christopher sobie,M,688.6734896234186,398
madison mestas,F,688.5291246891859,292
meghan newman,F,688.4898935306952,293
estanislao rivero,M,688.3828624926037,399
karen walrafen,F,688.3274104088207,294
luis alberto hernando,M,688.3076526864056,400
paul cornut-chauvinc,M,688.0317775417168,401
luke jay,M,688.0039698695537,402
austin chirico,M,687.8900418710921,403
katrin vock,F,687.8480523659259,295
blake medhaug,M,687.7421655374175,404
nicole lacis,F,687.7022209045463,296
jordan bramblett,M,687.6065923463065,405
tomaz oblak,M,687.5362587681205,406
troy allen,M,687.2513771864413,407
jeff mikesell,M,687.2258003306774,408
nicolas pinsard,M,687.1857873732072,409
sara lagomarsino,F,687.1832802334809,297
francis duenas,M,687.0713924248389,410
cat bradley,F,686.9329277678363,298
chris balestrini,M,686.8526743867584,411
kevin shilling,M,686.7319945076479,412
daniel bloom,M,686.6850843143355,413
rita coughlin,F,686.4908746128806,299
urska lamovec,F,686.3005640318404,300
nami kato,F,686.2974157569791,301
lucille germain,F,686.2587475074344,302
lucie guigue,F,685.5375587061055,303
madeline hirschfeld,F,685.5032665480666,304
marten bostrom,M,685.4757319478831,414
miranda kaltenborn,F,685.1109148649048,305
madeline rupe,F,685.0186841673844,306
laurel awald,F,684.978762730382,307
teresa kaiser,F,684.7889034919856,308
david dieperink,M,684.7791989470394,415
marie janod,F,684.7687761360728,309
cassi knight,F,684.4515640866895,310
noah dusseau,M,684.2056094167291,416
tessa caspers,F,684.1611236239079,311
david miao,M,684.0638890522717,417
andrew burford,M,683.8725110984622,418
didrik hermansen,M,683.7973418009899,419
sarah dickes,F,683.7743767623331,312
aj haney,M,683.7567261726772,420
nicolas allemeersch,M,683.6698505244182,421
